Total Time (s),Cycle Elapsed Time (s),Total Cycles,Elapsed Cycles,Step,Total Cycle Count(8800MTB25266 Linear Waveform),Position (mm),Force (kN),Strain 1 (%),Unnamed: 9,Stress
0,0,1,1,1,0,26.68967046,0.071287202,-0.000153549,,3.630627391
0.019,0.019,1,1,1,0,26.68935877,0.071761336,0.004110458,,3.654774835
0.028,0.028,1,1,1,0,26.68861128,0.072057751,0.00306943,,3.669871124
0.038,0.038,1,1,1,0,26.68993583,0.070846612,2.44E-05,,3.608188327
0.047,0.047,1,1,1,0,26.68917929,0.072621431,-0.000814675,,3.698579094
0.056,0.056,1,1,1,0,26.68932089,0.072396547,0.000592306,,3.687125838
0.065,0.065,1,1,1,0,26.68943978,0.072404137,0.001979194,,3.687512393
0.074,0.074,1,1,1,0,26.68937235,0.072492313,0.003431112,,3.692003166
0.083,0.083,1,1,1,0,26.68900969,0.072711442,0.002704373,,3.703163352
0.092,0.092,1,1,1,0,26.68896995,0.074495902,6.74E-05,,3.794045156
0.101,0.101,1,1,1,0,26.68935133,0.077827628,1.42E-05,,3.963728528
0.11,0.11,1,1,1,0,26.68944028,0.082722742,-0.001051477,,4.213034652
0.119,0.119,1,1,1,0,26.68958712,0.092530933,-0.000634807,,4.712561712
0.128,0.128,1,1,1,0,26.68971401,0.108727613,0.003275325,,5.537451873
0.137,0.137,1,1,1,0,26.69023025,0.132803627,0.004394262,,6.763633183
0.146,0.146,1,1,1,0,26.69074676,0.164492432,0.005249218,,8.377530745
0.155,0.155,1,1,1,0,26.69140146,0.204469493,0.004412101,,10.41354578
0.164,0.164,1,1,1,0,26.69205348,0.253728566,0.003798675,,12.92228977
0.173,0.173,1,1,1,0,26.69347004,0.311506107,0.004539367,,15.86487574
0.182,0.182,1,1,1,0,26.69410898,0.379313914,0.005545695,,19.31829898
0.191,0.191,1,1,1,0,26.69531356,0.455575439,0.008363041,,23.20226656
0.2,0.2,1,1,1,0,26.69685906,0.544215221,0.012513728,,27.71665361
0.209,0.209,1,1,1,0,26.69856522,0.64184495,0.015120671,,32.68889488
0.218,0.218,1,1,1,0,26.69980709,0.746816476,0.016130873,,38.03505077
0.227,0.227,1,1,1,0,26.70085684,0.853117258,0.017209979,,43.44890515
0.236,0.236,1,1,1,0,26.70343955,0.96295729,0.018600976,,49.04301207
0.245,0.245,1,1,1,0,26.70504811,1.075066735,0.020355065,,54.75269921
0.254,0.254,1,1,1,0,26.70715321,1.187921344,0.022945679,,60.50033726
0.263,0.263,1,1,1,0,26.70877331,1.305146557,0.027801985,,66.47056832
0.272,0.272,1,1,1,0,26.71060589,1.423280941,0.031470573,,72.4871031
0.281,0.281,1,1,1,0,26.71298208,1.54096287,0.03334899,,78.48059454
0.29,0.29,1,1,1,0,26.71472247,1.663072488,0.034642652,,84.69958629
0.299,0.299,1,1,1,0,26.7167173,1.785139152,0.035755112,,90.91639043
0.308,0.308,1,1,1,0,26.7186588,1.910455998,0.037350271,,97.29872503
0.317,0.317,1,1,1,0,26.72116355,2.036389793,0.040253656,,103.7124805
0.326,0.326,1,1,1,0,26.7227957,2.161612036,0.044204096,,110.089997
0.335,0.335,1,1,1,0,26.72531013,2.286349235,0.049189664,,116.4428104
0.344,0.344,1,1,1,0,26.7268049,2.412185544,0.051720623,,122.851601
0.353,0.353,1,1,1,0,26.72877693,2.537985704,0.052703475,,129.2585505
0.362,0.362,1,1,1,0,26.73117969,2.665108594,0.053977201,,135.7328661
0.371,0.371,1,1,1,0,26.73342762,2.791331532,0.054939581,,142.1613476
0.38,0.38,1,1,1,0,26.73600025,2.915421124,0.056369438,,148.4811786
0.389,0.389,1,1,1,0,26.73802412,3.04172447,0.059578741,,154.9137552
0.398,0.398,1,1,1,0,26.74127372,3.170394853,0.06414332,,161.466884
0.407,0.407,1,1,1,0,26.74263579,3.300211702,0.067976277,,168.0784018
0.416,0.416,1,1,1,0,26.74559675,3.428113423,0.069151299,,174.592383
0.425,0.425,1,1,1,0,26.74808138,3.559065814,0.070973098,,181.2617334
0.434,0.434,1,1,1,0,26.75036822,3.689257228,0.071675381,,187.8923277
0.443,0.443,1,1,1,0,26.75226048,3.820945575,0.073789551,,194.5991602
0.452,0.452,1,1,1,0,26.75503433,3.955062457,0.076133622,,201.4296769
0.461,0.461,1,1,1,0,26.75750719,4.085789143,0.080301936,,208.0875323
0.47,0.47,1,1,1,0,26.75964482,4.219499243,0.085291185,,214.8973318
0.479,0.479,1,1,1,0,26.76216713,4.353277031,0.087826731,,221.7105786
0.488,0.488,1,1,1,0,26.76450114,4.488692077,0.089358286,,228.6072102
0.497,0.497,1,1,1,0,26.76670389,4.626082851,0.0904789,,235.6044649
0.506,0.506,1,1,1,0,26.76965076,4.764183372,0.09237076,,242.6378667
0.515,0.515,1,1,1,0,26.77079295,4.902159967,0.094735281,,249.664957
0.524,0.524,1,1,1,0,26.77484394,5.040057824,0.098619414,,256.6880372
0.533,0.533,1,1,1,0,26.77618889,5.178555615,0.103483747,,263.7416717
0.542,0.542,1,1,1,0,26.77950381,5.319171999,0.107305291,,270.9032054
0.551,0.551,1,1,1,0,26.78149646,5.461551959,0.109125658,,278.1545572
0.56,0.56,1,1,1,0,26.78464778,5.604394517,0.111295588,,285.4294689
0.569,0.569,1,1,1,0,26.78669277,5.749298582,0.112964583,,292.8093724
0.578,0.578,1,1,1,0,26.78991742,5.891717739,0.114882004,,300.0627205
0.587,0.587,1,1,1,0,26.79189247,6.033170745,0.118481505,,307.2668629
0.596,0.596,1,1,1,0,26.79510304,6.17317624,0.123077189,,314.3972842
0.605,0.605,1,1,1,0,26.79696889,6.316818302,0.128126548,,321.7129144
0.614,0.614,1,1,1,0,26.80014348,6.460651349,0.131037689,,329.0382713
0.623,0.623,1,1,1,0,26.8022424,6.606525781,0.132722546,,336.4675951
0.632,0.632,1,1,1,0,26.80533978,6.751996002,0.134803993,,343.8763326
0.641,0.641,1,1,1,0,26.80819648,6.900733692,0.13675575,,351.451481
0.65,0.65,1,1,1,0,26.81037446,7.04794921,0.139653309,,358.9491057
0.659,0.659,1,1,1,0,26.81321126,7.193945883,0.144398916,,366.3846553
0.668,0.668,1,1,1,0,26.81601256,7.341395822,0.149627494,,373.894219
0.677,0.677,1,1,1,0,26.81854462,7.489361156,0.153614112,,381.4300316
0.686,0.686,1,1,1,0,26.82125185,7.636181131,0.156045111,,388.9075115
0.695,0.695,1,1,1,0,26.8235839,7.781939104,0.157647704,,396.3309041
0.704,0.704,1,1,1,0,26.82720794,7.92931055,0.160005791,,403.8364702
0.713,0.713,1,1,1,0,26.82917243,8.074294789,0.162431939,,411.2204569
0.722,0.722,1,1,1,0,26.83240405,8.222366767,0.166237914,,418.7617008
0.731,0.731,1,1,1,0,26.83440471,8.369662659,0.171820106,,426.263419
0.74,0.74,1,1,1,0,26.83812085,8.520096499,0.176656702,,433.9249515
0.749,0.749,1,1,1,0,26.84042004,8.66928591,0.179809607,,441.5231058
0.758,0.758,1,1,1,0,26.84361223,8.817614297,0.182183979,,449.0774085
0.767,0.767,1,1,1,0,26.8462402,8.969380233,0.184169872,,456.8067842
0.776,0.776,1,1,1,0,26.84934729,9.119580474,0.186786943,,464.4564196
0.785,0.785,1,1,1,0,26.85190463,9.271142931,0.190112263,,472.1754322
0.794,0.794,1,1,1,0,26.8547102,9.421561627,0.195517237,,479.8361934
0.803,0.803,1,1,1,0,26.85730485,9.574723522,0.201136371,,487.6366647
0.812,0.812,1,1,1,0,26.86059271,9.723156955,0.205258861,,495.1963174
0.821,0.821,1,1,1,0,26.86336467,9.868747047,0.207788598,,502.6111599
0.83,0.83,1,1,1,0,26.8662827,10.01363283,0.209909351,,509.9901324
0.839,0.839,1,1,1,0,26.8694042,10.15712114,0.212853209,,517.2979318
0.848,0.848,1,1,1,0,26.87142063,10.29660784,0.215837412,,524.4019311
0.857,0.857,1,1,1,0,26.87506933,10.43813278,0.220247644,,531.6097369
0.866,0.866,1,1,1,0,26.87677023,10.57813305,0.226625074,,538.7398924
0.875,0.875,1,1,1,0,26.88121022,10.71446453,0.231725564,,545.6831978
0.884,0.884,1,1,1,0,26.88269203,10.84832968,0.235896357,,552.5008936
0.893,0.893,1,1,1,0,26.88635778,10.97837578,0.238887397,,559.124087
0.902,0.902,1,1,1,0,26.88832781,11.10726401,0.24242541,,565.6883106
0.911,0.911,1,1,1,0,26.89099691,11.23171452,0.24635258,,572.0265232
0.92,0.92,1,1,1,0,26.89369318,11.35114285,0.251152576,,578.1089584
0.929,0.929,1,1,1,0,26.89666207,11.46262432,0.25811968,,583.7866627
0.938,0.938,1,1,1,0,26.89931697,11.57074782,0.26631825,,589.2933474
0.947,0.947,1,1,1,0,26.9023155,11.67048701,0.272780383,,594.3730227
0.956,0.956,1,1,1,0,26.90487681,11.761398,0.278776579,,599.0030815
0.965,0.965,1,1,1,0,26.90713237,11.84386455,0.284674611,,603.2030681
0.974,0.974,1,1,1,0,26.91036039,11.91942192,0.291531119,,607.0511738
0.983,0.983,1,1,1,0,26.91220886,11.98307467,0.298737479,,610.2929813
0.992,0.992,1,1,1,0,26.91481575,12.03936186,0.308197076,,613.1596645
1.001,1.001,1,1,1,0,26.91652371,12.08903679,0.319264552,,615.6895877
1.01,1.01,1,1,1,0,26.9193101,12.13004752,0.329633267,,617.7782472
1.019,1.019,1,1,1,0,26.92080202,12.16236765,0.338402177,,619.4242979
1.028,1.028,1,1,1,0,26.92283459,12.18872655,0.346143282,,620.7667458
1.037,1.037,1,1,1,0,26.92455073,12.20833016,0.354160315,,621.7651496
1.046,1.046,1,1,1,0,26.92618911,12.22395426,0.361948161,,622.5608781
1.055,1.055,1,1,1,0,26.92753529,12.23028146,0.370071741,,622.8831198
1.064,1.064,1,1,1,0,26.92781397,12.23567639,0.380032046,,623.1578815
1.079,1.079,1,1,1,0,26.93088841,12.23657027,0.389845595,,623.2034066
1.088,1.088,1,1,1,0,26.9313311,12.23405833,0.398923868,,623.0754741
1.097,1.097,1,1,1,0,26.93282661,12.22999007,0.406169126,,622.8682794
1.106,1.106,1,1,1,0,26.93272104,12.22363079,0.411750266,,622.5444042
1.115,1.115,1,1,1,0,26.93401569,12.21802564,0.415312288,,622.2589362
1.124,1.124,1,1,1,0,26.93376454,12.21221063,0.419016805,,621.9627802
1.133,1.133,1,1,1,0,26.93477105,12.20497797,0.422321085,,621.5944236
1.142,1.142,1,1,1,0,26.93565223,12.19863768,0.426177415,,621.2715156
1.151,1.151,1,1,1,0,26.93560996,12.19274918,0.43152386,,620.9716165
1.16,1.16,1,1,1,0,26.93692841,12.18741961,0.437533425,,620.7001837
1.169,1.169,1,1,1,0,26.93680096,12.18186437,0.441157175,,620.4172576
1.178,1.178,1,1,1,0,26.9373217,12.17787209,0.443285883,,620.2139328
1.187,1.187,1,1,1,0,26.9376708,12.17448528,0.445399221,,620.0414439
1.196,1.196,1,1,1,0,26.93834784,12.171635,0.447478079,,619.8962803
1.205,1.205,1,1,1,0,26.9385754,12.16793169,0.449555245,,619.7076723
1.214,1.214,1,1,1,0,26.93874367,12.16695428,0.452994024,,619.657893
1.223,1.223,1,1,1,0,26.94019044,12.16652018,0.457675712,,619.6357845
1.232,1.232,1,1,1,0,26.93992583,12.16429384,0.462402222,,619.5223979
1.241,1.241,1,1,1,0,26.9405006,12.16487978,0.464160482,,619.5522395
1.25,1.25,1,1,1,0,26.94069047,12.16760327,0.465636449,,619.6909458
1.259,1.259,1,1,1,0,26.9410629,12.1683625,0.467133107,,619.7296131
1.268,1.268,1,1,1,0,26.94152062,12.17081818,0.468809665,,619.8546802
1.277,1.277,1,1,1,0,26.94203483,12.17389724,0.471463041,,620.0114954
1.286,1.286,1,1,1,0,26.94253027,12.1755822,0.47509541,,620.0973097
1.295,1.295,1,1,1,0,26.94275795,12.17677389,0.480363115,,620.1580019
1.304,1.304,1,1,1,0,26.94316558,12.17993268,0.483083353,,620.3188777
1.313,1.313,1,1,1,0,26.94383105,12.18442082,0.484909037,,620.5474569
1.322,1.322,1,1,1,0,26.94420557,12.18814502,0.486372782,,620.7371288
1.331,1.331,1,1,1,0,26.94461699,12.19161748,0.487797644,,620.9139796
1.34,1.34,1,1,1,0,26.94515759,12.19618163,0.489820023,,621.1464296
